Unnamed: 0,date,compound,unix
0,2021-02-05 00:00:00,229.4372,1612479600000
1,2021-02-06 00:00:00,464.11,1612566000000
2,2021-02-07 00:00:00,447.5697,1612652400000
3,2021-02-08 00:00:00,890.2423,1612738800000
4,2021-02-09 00:00:00,692.7594,1612825200000
5,2021-02-10 00:00:00,609.2493000000001,1612911600000
6,2021-02-11 00:00:00,0.0,1612998000000
7,2021-02-12 00:00:00,0.0,1613084400000
8,2021-02-13 00:00:00,373.0811,1613170800000
9,2021-02-14 00:00:00,1072.2204,1613257200000
10,2021-02-15 00:00:00,1556.6604,1613343600000
11,2021-02-16 00:00:00,0.0,1613430000000
12,2021-02-17 00:00:00,0.0,1613516400000
13,2021-02-18 00:00:00,367.3551,1613602800000
14,2021-02-19 00:00:00,662.7453,1613689200000
15,2021-02-20 00:00:00,0.0,1613775600000
16,2021-02-21 00:00:00,0.0,1613862000000
17,2021-02-22 00:00:00,460.0978,1613948400000
18,2021-02-23 00:00:00,0.0,1614034800000
19,2021-02-24 00:00:00,0.0,1614121200000
20,2021-02-25 00:00:00,0.0,1614207600000
21,2021-02-26 00:00:00,0.0,1614294000000
22,2021-02-27 00:00:00,0.0,1614380400000
23,2021-02-28 00:00:00,213.0475,1614466800000
24,2021-03-01 00:00:00,0.0,1614553200000
25,2021-03-02 00:00:00,0.0,1614639600000
26,2021-03-03 00:00:00,0.0,1614726000000
27,2021-03-04 00:00:00,0.0,1614812400000
28,2021-03-05 00:00:00,0.0,1614898800000
29,2021-03-06 00:00:00,0.0,1614985200000
30,2021-03-07 00:00:00,0.0,1615071600000
31,2021-03-08 00:00:00,0.0,1615158000000
32,2021-03-09 00:00:00,0.0,1615244400000
33,2021-03-10 00:00:00,0.0,1615330800000
34,2021-03-11 00:00:00,15.4594,1615417200000
35,2021-03-12 00:00:00,502.1789,1615503600000
36,2021-03-13 00:00:00,0.0,1615590000000
37,2021-03-14 00:00:00,0.0,1615676400000
38,2021-03-15 00:00:00,0.0,1615762800000
39,2021-03-16 00:00:00,0.0,1615849200000
